Date	Close	Open	High	Low	% var.
22.10.2014	"12,649"	"12,716"	"12,740"	"12,636"	"-0,52"
21.10.2014	"12,715"	"12,801"	"12,841"	"12,713"	"-0,66"
20.10.2014	"12,799"	"12,758"	"12,817"	"12,731"	"0,28"
17.10.2014	"12,763"	"12,811"	"12,837"	"12,744"	"-0,36"
16.10.2014	"12,809"	"12,837"	"12,847"	"12,706"	"-0,22"
15.10.2014	"12,837"	"12,659"	"12,886"	"12,624"	"1,41"
14.10.2014	"12,659"	"12,752"	"12,769"	"12,640"	"-0,74"
13.10.2014	"12,753"	"12,637"	"12,762"	"12,619"	"0,99"
10.10.2014	"12,628"	"12,691"	"12,716"	"12,605"	"-0,50"
09.10.2014	"12,691"	"12,732"	"12,792"	"12,664"	"-0,34"
08.10.2014	"12,734"	"12,669"	"12,749"	"12,622"	"0,51"
07.10.2014	"12,670"	"12,656"	"12,683"	"12,584"	"0,13"
06.10.2014	"12,654"	"12,510"	"12,677"	"12,504"	"1,09"
03.10.2014	"12,517"	"12,668"	"12,676"	"12,500"	"-1,19"
02.10.2014	"12,668"	"12,622"	"12,698"	"12,612"	"0,35"
01.10.2014	"12,624"	"12,631"	"12,640"	"12,584"	"-0,06"
30.09.2014	"12,632"	"12,684"	"12,703"	"12,571"	"-0,42"
29.09.2014	"12,685"	"12,685"	"12,716"	"12,664"	"0,00"
26.09.2014	"12,685"	"12,752"	"12,761"	"12,677"	"-0,51"
25.09.2014	"12,750"	"12,780"	"12,784"	"12,698"	"-0,23"
24.09.2014	"12,780"	"12,846"	"12,864"	"12,774"	"-0,52"
23.09.2014	"12,847"	"12,851"	"12,903"	"12,842"	"-0,02"
22.09.2014	"12,850"	"12,827"	"12,868"	"12,815"	"0,16"
19.09.2014	"12,829"	"12,923"	"12,930"	"12,827"	"-0,73"
18.09.2014	"12,923"	"12,865"	"12,931"	"12,834"	"0,44"
17.09.2014	"12,866"	"12,959"	"12,982"	"12,851"	"-0,73"
16.09.2014	"12,960"	"12,938"	"12,995"	"12,922"	"0,14"
15.09.2014	"12,942"	"12,976"	"12,982"	"12,908"	"-0,18"
12.09.2014	"12,965"	"12,925"	"12,980"	"12,909"	"0,30"
11.09.2014	"12,926"	"12,917"	"12,952"	"12,896"	"0,07"
10.09.2014	"12,917"	"12,936"	"12,963"	"12,883"	"-0,16"
09.09.2014	"12,938"	"12,898"	"12,959"	"12,860"	"0,32"
08.09.2014	"12,897"	"12,943"	"12,963"	"12,882"	"-0,41"
05.09.2014	"12,950"	"12,944"	"12,986"	"12,921"	"0,04"
04.09.2014	"12,945"	"13,147"	"13,155"	"12,919"	"-1,57"
03.09.2014	"13,151"	"13,131"	"13,161"	"13,122"	"0,14"
02.09.2014	"13,133"	"13,130"	"13,139"	"13,110"	"0,04"
01.09.2014	"13,128"	"13,138"	"13,146"	"13,118"	"-0,04"
29.08.2014	"13,133"	"13,178"	"13,197"	"13,131"	"-0,38"
28.08.2014	"13,183"	"13,193"	"13,221"	"13,159"	"-0,08"
27.08.2014	"13,193"	"13,168"	"13,211"	"13,152"	"0,18"
26.08.2014	"13,169"	"13,193"	"13,216"	"13,165"	"-0,17"
25.08.2014	"13,192"	"13,220"	"13,220"	"13,184"	"-0,39"
22.08.2014	"13,243"	"13,283"	"13,298"	"13,220"	"-0,29"
21.08.2014	"13,282"	"13,260"	"13,289"	"13,242"	"0,17"
20.08.2014	"13,260"	"13,321"	"13,327"	"13,255"	"-0,45"
19.08.2014	"13,320"	"13,363"	"13,366"	"13,312"	"-0,32"
18.08.2014	"13,363"	"13,393"	"13,400"	"13,352"	"-0,27"
15.08.2014	"13,399"	"13,366"	"13,412"	"13,358"	"0,25"
14.08.2014	"13,365"	"13,365"	"13,409"	"13,348"	"0,00"
13.08.2014	"13,365"	"13,369"	"13,415"	"13,342"	"-0,03"
12.08.2014	"13,369"	"13,386"	"13,386"	"13,335"	"-0,13"
11.08.2014	"13,386"	"13,401"	"13,415"	"13,378"	"-0,19"
08.08.2014	"13,411"	"13,363"	"13,433"	"13,343"	"0,36"
07.08.2014	"13,363"	"13,384"	"13,394"	"13,337"	"-0,14"
06.08.2014	"13,382"	"13,377"	"13,388"	"13,333"	"0,04"
05.08.2014	"13,376"	"13,422"	"13,425"	"13,358"	"-0,34"
04.08.2014	"13,422"	"13,427"	"13,434"	"13,408"	"-0,06"
01.08.2014	"13,430"	"13,392"	"13,445"	"13,378"	"0,31"
31.07.2014	"13,389"	"13,396"	"13,401"	"13,371"	"-0,06"
30.07.2014	"13,397"	"13,409"	"13,416"	"13,366"	"-0,10"
29.07.2014	"13,410"	"13,440"	"13,445"	"13,403"	"-0,23"
28.07.2014	"13,441"	"13,432"	"13,445"	"13,426"	"0,07"
25.07.2014	"13,432"	"13,466"	"13,478"	"13,422"	"-0,24"
24.07.2014	"13,464"	"13,463"	"13,485"	"13,437"	"-0,01"
23.07.2014	"13,465"	"13,465"	"13,475"	"13,454"	"-0,01"
22.07.2014	"13,466"	"13,525"	"13,531"	"13,460"	"-0,42"
21.07.2014	"13,523"	"13,527"	"13,550"	"13,512"	"-0,01"
18.07.2014	"13,525"	"13,525"	"13,535"	"13,491"	"-0,01"
17.07.2014	"13,527"	"13,525"	"13,541"	"13,516"	"0,01"
16.07.2014	"13,525"	"13,567"	"13,575"	"13,519"	"-0,35"
15.07.2014	"13,572"	"13,620"	"13,628"	"13,561"	"-0,35"
14.07.2014	"13,620"	"13,602"	"13,640"	"13,597"	"0,08"
11.07.2014	"13,609"	"13,609"	"13,625"	"13,591"	"-0,01"
10.07.2014	"13,610"	"13,644"	"13,651"	"13,589"	"-0,26"
09.07.2014	"13,645"	"13,613"	"13,648"	"13,601"	"0,24"
08.07.2014	"13,613"	"13,605"	"13,619"	"13,588"	"0,06"
07.07.2014	"13,605"	"13,596"	"13,611"	"13,575"	"0,07"
04.07.2014	"13,596"	"13,613"	"13,613"	"13,586"	"-0,11"
03.07.2014	"13,611"	"13,659"	"13,665"	"13,596"	"-0,36"
02.07.2014	"13,660"	"13,679"	"13,684"	"13,642"	"-0,14"
01.07.2014	"13,679"	"13,692"	"13,701"	"13,675"	"-0,09"
30.06.2014	"13,692"	"13,646"	"13,698"	"13,639"	"0,32"
27.06.2014	"13,649"	"13,611"	"13,652"	"13,609"	"0,28"
26.06.2014	"13,611"	"13,628"	"13,641"	"13,575"	"-0,14"
25.06.2014	"13,630"	"13,607"	"13,652"	"13,599"	"0,18"
24.06.2014	"13,605"	"13,603"	"13,628"	"13,582"	"0,00"
23.06.2014	"13,605"	"13,596"	"13,615"	"13,575"	"0,04"
20.06.2014	"13,599"	"13,607"	"13,634"	"13,563"	"-0,07"
19.06.2014	"13,609"	"13,596"	"13,643"	"13,582"	"0,10"
18.06.2014	"13,596"	"13,546"	"13,599"	"13,540"	"0,37"
17.06.2014	"13,546"	"13,574"	"13,588"	"13,536"	"-0,21"
16.06.2014	"13,575"	"13,535"	"13,580"	"13,514"	"0,24"
13.06.2014	"13,542"	"13,552"	"13,580"	"13,519"	"-0,08"
12.06.2014	"13,553"	"13,533"	"13,574"	"13,512"	"0,15"
11.06.2014	"13,533"	"13,548"	"13,558"	"13,521"	"-0,11"
10.06.2014	"13,548"	"13,594"	"13,603"	"13,533"	"-0,34"
09.06.2014	"13,594"	"13,645"	"13,670"	"13,583"	"-0,36"
06.06.2014	"13,643"	"13,662"	"13,678"	"13,620"	"-0,12"
05.06.2014	"13,660"	"13,599"	"13,671"	"13,504"	"0,45"
04.06.2014	"13,599"	"13,628"	"13,639"	"13,595"	"-0,21"
03.06.2014	"13,628"	"13,596"	"13,647"	"13,586"	"0,23"
02.06.2014	"13,597"	"13,636"	"13,646"	"13,589"	"-0,25"
